year,a,b,c,d,e,f,g,h,i,g,k,l,m,n,o,p,q,r,s,t,u
2000,10,32,24,6,2,6,4,10,2,4,0,0,0,0,0,0,0,0,0,0,0
2001,4,32,10,4,4,12,0,24,0,0,2,2,2,4,0,0,0,0,0,0,0
2002,4,40,22,4,4,12,2,8,2,0,0,2,0,0,0,0,0,0,0,0,0
2003,4,32,14,10,2,8,0,16,0,0,0,2,2,0,2,6,2,0,0,0,0
2004,4,32,16,4,2,14,0,16,0,0,0,0,0,2,0,2,2,2,2,2,0
2005,6,40,10,6,0,14,0,14,0,0,0,2,0,4,0,0,0,2,2,0,0
2006,14,28,12,2,0,8,0,26,0,0,0,2,0,6,0,0,0,0,0,0,2
2007,8,22,12,2,0,14,0,32,0,0,4,0,0,4,0,0,2,0,0,0,0
2008,4,36,10,0,0,20,2,24,0,0,0,2,0,0,0,0,0,0,2,0,0
2009,10,32,28,0,0,16,4,6,0,0,2,2,0,0,0,0,0,0,0,0,0
2010,8,26,30,0,2,12,4,14,2,0,0,0,0,2,0,0,0,0,0,0,0
2011,12,24,20,2,4,12,4,16,4,0,0,0,0,2,0,0,0,0,0,0,0
2012,4,20,24,2,0,12,6,22,4,0,0,2,0,2,0,0,0,2,0,0,0
2013,4,28,18,0,2,10,10,20,0,0,0,2,0,2,0,0,0,2,0,0,2
2014,4,28,14,2,4,10,8,16,2,0,0,2,2,2,0,2,0,2,0,0,2
2015,8,18,28,0,0,10,16,12,0,0,0,2,0,0,0,0,0,2,2,0,2
2016,8,28,20,0,4,10,18,6,0,0,0,0,0,2,0,0,0,4,0,0,0
2017,6,22,24,2,4,8,16,12,2,0,0,0,0,0,0,4,0,0,0,0,0
